2011-12-02 17:53:16 NSL需求報表	-2147217900	發生除以零的錯誤。	
2011-12-02 20:59:56 NSL需求報表	-2147217900	發生除以零的錯誤。	
2011-12-02 21:03:54 NSL需求報表	-2147217900	發生除以零的錯誤。	
2011-12-05 15:28:45 NSL需求報表	-2147217900	發生除以零的錯誤。	
2011-12-05 15:53:01 NSL需求報表	-2147467259	[DBNETLIB][ConnectionWrite (send()).]一般網路錯誤。 查閱您的網路文件。	
2011-12-05 15:59:47 NSL需求報表	-2147217900	發生除以零的錯誤。	
2011-12-05 16:17:32 NSL需求報表	-2147467259	[DBNETLIB][ConnectionWrite (send()).]一般網路錯誤。 查閱您的網路文件。	
2011-12-05 18:42:16 訂單接收	5	程序呼叫或引數不正確	
2011-12-05 18:44:03 訂單接收	5	程序呼叫或引數不正確	
2011-12-05 18:44:19 訂單接收	5	程序呼叫或引數不正確	
2011-12-05 18:44:56 訂單接收	5	程序呼叫或引數不正確	
2011-12-05 18:47:31 訂單接收	3704	當物件關閉時，不允許操作。	
2011-12-05 18:48:15 訂單接收	5	程序呼叫或引數不正確	
2011-12-05 18:48:45 訂單接收	3001	引數中可能發生類型錯誤、超過可接受的定義範圍、或與其他引數發生衝突。	
2011-12-05 18:49:12 訂單接收	3001	引數中可能發生類型錯誤、超過可接受的定義範圍、或與其他引數發生衝突。	
2011-12-05 18:49:35 訂單接收	3001	引數中可能發生類型錯誤、超過可接受的定義範圍、或與其他引數發生衝突。	
BestTRP	2011-12-15 10:49:29	0	排車轉訂單	WMS: 0000002961,TMS: F111215001,LNSL01,0000003045,8033226872          
BestTRP	2011-12-15 10:49:30	0	排車轉訂單	WMS: 0000002962,TMS: F111215001,LNSL01,0000003047,8033226875          
BestTRP	2012-01-05 15:36:21	0	排車轉訂單	WMS: 0000005490,TMS: F120105001,LNSL01,0000005813,8033649750          
BestTRP	2012-01-05 15:36:22	0	排車轉訂單	WMS: 0000005491,TMS: F120105001,LNSL01,0000005823,8033652892          
BestTRP	2012-01-05 15:36:22	0	排車轉訂單	WMS: 0000005492,TMS: F120105001,LNSL01,0000005848,8033653038          
BestTRP	2012-01-05 15:36:22	0	排車轉訂單	WMS: 0000005493,TMS: F120105001,LNSL01,0000005873,8033653067          
BestTRP	2012-01-06 09:43:17	0	排車轉訂單	WMS: 0000006226,TMS: F120106073,LNSL01,0000006728,8033769277          
BestTRP	2012-01-06 09:43:18	0	排車轉訂單	WMS: 0000006227,TMS: F120106073,LNSL01,0000006729,8033769278          
BestTRP	2012-01-06 09:43:18	0	排車轉訂單	WMS: 0000006228,TMS: F120106073,LNSL01,0000006730,8033769279          
BestTRP	2012-01-06 09:43:18	0	排車轉訂單	WMS: 0000006229,TMS: F120106073,LNSL01,0000006731,8033769280          
BestTRP	2012-01-06 09:43:18	0	排車轉訂單	WMS: 0000006230,TMS: F120106073,LNSL01,0000006732,8033769283          
BestTRP	2012-01-06 09:43:18	0	排車轉訂單	WMS: 0000006231,TMS: F120106073,LNSL01,0000006733,8033769284          
BestTRP	2012-01-06 09:43:18	0	排車轉訂單	WMS: 0000006232,TMS: F120106073,LNSL01,0000006734,8033769287          
BestTRP	2012-01-06 09:43:18	0	排車轉訂單	WMS: 0000006233,TMS: F120106073,LNSL01,0000006735,8033769288          
BestTRP	2012-01-06 09:43:18	0	排車轉訂單	WMS: 0000006234,TMS: F120106073,LNSL01,0000006736,8033769289          
BestTRP	2012-01-06 09:43:18	0	排車轉訂單	WMS: 0000006235,TMS: F120106073,LNSL01,0000006737,8033782830          
BestTRP	2012-01-06 09:43:18	0	排車轉訂單	WMS: 0000006236,TMS: F120106073,LNSL01,0000006738,8033782833          
BestTRP	2012-01-06 09:43:18	0	排車轉訂單	WMS: 0000006237,TMS: F120106073,LNSL01,0000006739,8033782834          
BestTRP	2012-01-06 09:43:18	0	排車轉訂單	WMS: 0000006238,TMS: F120106073,LNSL01,0000006740,8033782835          
BestTRP	2012-01-06 09:43:19	0	排車轉訂單	WMS: 0000006239,TMS: F120106073,LNSL01,0000006741,8033782836          
BestTRP	2012-01-06 09:43:19	0	排車轉訂單	WMS: 0000006240,TMS: F120106073,LNSL01,0000006742,8033782837          
BestTRP	2012-01-06 09:43:19	0	排車轉訂單	WMS: 0000006241,TMS: F120106073,LNSL01,0000006743,8033782838          
BestTRP	2012-01-06 09:43:19	0	排車轉訂單	WMS: 0000006242,TMS: F120106073,LNSL01,0000006744,8033782839          
BestTRP	2012-01-06 09:43:20	0	排車轉訂單	WMS: 0000006243,TMS: F120106073,LNSL01,0000006745,8033788791          
BestTRP	2012-01-06 09:43:20	0	排車轉訂單	WMS: 0000006244,TMS: F120106073,LNSL01,0000006746,8033788792          
BestTRP	2012-01-06 09:43:20	0	排車轉訂單	WMS: 0000006245,TMS: F120106073,LNSL01,0000006747,8033788793          
BestTRP	2012-01-06 09:43:20	0	排車轉訂單	WMS: 0000006246,TMS: F120106073,LNSL01,0000006748,8033788794          
BestTRP	2012-01-06 09:43:20	0	排車轉訂單	WMS: 0000006247,TMS: F120106073,LNSL01,0000006749,8033788795          
BestTRP	2012-01-06 09:43:21	0	排車轉訂單	WMS: 0000006248,TMS: F120106073,LNSL01,0000006750,8033788796          
BestTRP	2012-01-06 09:43:21	0	排車轉訂單	WMS: 0000006249,TMS: F120106073,LNSL01,0000006751,8033788797          
BestTRP	2012-01-06 09:43:21	0	排車轉訂單	WMS: 0000006250,TMS: F120106073,LNSL01,0000006752,8033788798          
BestTRP	2012-01-06 09:43:21	0	排車轉訂單	WMS: 0000006251,TMS: F120106073,LNSL01,0000006754,8033788800          
BestTRP	2012-01-06 09:43:21	0	排車轉訂單	WMS: 0000006252,TMS: F120106073,LNSL01,0000006755,8033788802          
BestTRP	2012-01-06 09:43:21	0	排車轉訂單	WMS: 0000006253,TMS: F120106073,LNSL01,0000006756,8033788803          
BestTRP	2012-01-06 09:43:22	0	排車轉訂單	WMS: 0000006254,TMS: F120106073,LNSL01,0000006757,8033788804          
BestTRP	2012-01-06 09:43:22	0	排車轉訂單	WMS: 0000006255,TMS: F120106073,LNSL01,0000006758,8033788805          
BestTRP	2012-01-06 09:43:22	0	排車轉訂單	WMS: 0000006256,TMS: F120106073,LNSL01,0000006759,8033788806          
BestTRP	2012-01-06 09:43:22	0	排車轉訂單	WMS: 0000006257,TMS: F120106073,LNSL01,0000006760,8033788807          
BestTRP	2012-01-06 09:43:22	0	排車轉訂單	WMS: 0000006258,TMS: F120106073,LNSL01,0000006761,8033788808          
BestTRP	2012-01-06 09:43:23	0	排車轉訂單	WMS: 0000006259,TMS: F120106073,LNSL01,0000006762,8033788809          
BestTRP	2012-01-06 09:43:23	0	排車轉訂單	WMS: 0000006260,TMS: F120106073,LNSL01,0000006763,8033788810          
BestTRP	2012-01-06 09:43:24	0	排車轉訂單	WMS: 0000006261,TMS: F120106073,LNSL01,0000006764,8033788811          
BestTRP	2012-01-06 09:43:25	0	排車轉訂單	WMS: 0000006262,TMS: F120106073,LNSL01,0000006765,8033788812          
BestTRP	2012-01-06 09:43:25	0	排車轉訂單	WMS: 0000006263,TMS: F120106073,LNSL01,0000006766,8033788813          
BestTRP	2012-01-06 09:43:25	0	排車轉訂單	WMS: 0000006264,TMS: F120106073,LNSL01,0000006767,8033788814          
BestTRP	2012-01-06 09:43:25	0	排車轉訂單	WMS: 0000006265,TMS: F120106073,LNSL01,0000006768,8033788815          
BestTRP	2012-01-06 09:43:26	0	排車轉訂單	WMS: 0000006266,TMS: F120106073,LNSL01,0000006769,8033788816          
BestTRP	2012-01-06 09:43:26	0	排車轉訂單	WMS: 0000006267,TMS: F120106073,LNSL01,0000006770,8033788817          
BestTRP	2012-01-06 09:43:26	0	排車轉訂單	WMS: 0000006268,TMS: F120106073,LNSL01,0000006771,8033788818          
